,Unnamed: 0.1,Unnamed: 0,number,Mean_MeanAct,Mean_Q99Act,Std_MeanAct,Std_Q99Act,CV_MeanAct,CV_Q99Act
47,24,24,control_25,305.30749007936504,1768.0728571428542,70.54450987181468,159.5871323822133,0.2310605280383935,0.0902604956223923
13,13,13,condition_14,73.91934523809525,854.0621428571416,24.9375080996298,322.49220599236696,0.3373610523646514,0.3775980573421927
5,5,5,condition_6,194.7548611111111,1428.7649999999978,38.79461089208348,153.98421920893236,0.1991971377286981,0.1077743500218248
52,29,29,control_30,218.86478174603167,1494.918571428569,69.88155308859963,450.2417285082637,0.3192909911366617,0.30118144032287
1,1,1,condition_2,211.28073830409355,1538.7773684210504,80.92441400065069,528.810407254308,0.383018417344686,0.3436562157116489
12,12,12,condition_13,250.22138888888887,1472.3413333333308,66.7627819035055,202.97792574798007,0.2668148482428557,0.1378606449147529
9,9,9,condition_10,296.40337301587306,1691.55214285714,84.89846930339462,256.5418364795203,0.2864288231255996,0.1516606139295267
51,28,28,control_29,266.3998015873016,1747.5664285714265,64.43161114082605,218.6194126649237,0.2418605823162043,0.1250993433443541
26,3,3,control_4,186.39421296296297,1711.9353333333306,59.2682654266462,298.8541878782711,0.3179726692395914,0.1745709560748234
16,16,16,condition_17,86.65853174603174,839.9771428571422,11.406454309819138,481.2042619612493,0.1316252892819345,0.5728778051322395
19,19,19,condition_20,65.37058531746031,721.2699999999978,17.739953401031183,117.81496013142484,0.2713751653726265,0.1633437688125461
36,13,13,control_14,362.2874503968254,2426.4092857142828,109.54368187146105,390.00832867762097,0.3023667580852558,0.1607347659662499
11,11,11,condition_12,152.20257936507937,1150.9285714285693,63.11993057673883,315.606818705151,0.414709992695569,0.2742192926129288
50,27,27,control_28,291.96875,1808.226874999996,43.96764202313548,184.38782359359587,0.1505902327668131,0.1019716199017318
14,14,14,condition_15,110.199751984127,1021.9928571428552,60.3770391774516,367.8108576518524,0.547887251018026,0.3598957224418638
0,0,0,condition_1,152.19962962962964,1248.3653333333314,59.21824047264119,537.7506276660565,0.389082684476604,0.4307638263473545
30,7,7,control_8,380.2007870370371,1970.728666666663,125.20210214272352,613.6977733829874,0.3293052155900114,0.3114065288455007
2,2,2,condition_3,280.81071428571425,1605.269999999997,61.5777696857456,287.3497079545036,0.2192856844596483,0.1790039731350514
7,7,7,condition_8,200.44375,1804.8099999999963,95.16915782681934,745.7196214529956,0.4747923436216861,0.4131845576282252
37,14,14,control_15,291.7062996031746,1873.499285714281,51.20261817785179,227.3967957105978,0.1755279822462036,0.1213754376340216
32,9,9,control_10,290.43978174603177,1865.657142857139,83.29843339060564,324.4917223177613,0.2868010466398297,0.1739289148384586
42,19,19,control_20,322.97657407407405,1850.555333333329,122.23160518199558,777.7439053337596,0.3784534699843648,0.4202759524800815
4,4,4,condition_5,172.62237103174604,1300.53857142857,46.444163630801086,259.8164908266871,0.2690506644834567,0.1997760747236377
45,22,22,control_23,197.0567460317461,1215.7607142857123,50.74227737749612,206.53156888380107,0.2575008387143543,0.1698784690580688
39,16,16,control_17,242.1381944444444,1395.5028571428554,61.25967275830627,186.73008366370647,0.2529946706625895,0.133808456720767
17,17,17,condition_18,71.43839285714286,665.4914285714277,9.301415324772094,96.54726477877908,0.130201911783939,0.1450766465708379
44,21,21,control_22,251.86939484126984,1615.3571428571413,61.47047639674806,277.48807526502054,0.2440569503709939,0.1717812537568114
3,3,3,condition_4,286.0647321428572,1710.24071428571,166.28024129048163,609.3400020888174,0.5812678831287855,0.3562890282046121
22,22,22,condition_23,246.3935049019608,1555.232352941175,59.11356960550956,239.2106039280396,0.2399152917161134,0.1538102030064233
10,10,10,condition_11,130.19347222222223,1250.9759999999983,64.90733187079768,317.9502394535508,0.4985452093942917,0.254161742074629
46,23,23,control_24,357.70897817460315,2635.94214285714,119.86170913326724,1205.541015836578,0.3350816346431229,0.457347297664839
40,17,17,control_18,282.2176587301587,1642.4642857142833,88.6772196005255,308.6981242302855,0.3142157014537275,0.1879481501760857
20,20,20,condition_21,77.8491452991453,1029.9792307692285,21.37615158211825,185.43260426462007,0.2745842809189189,0.1800352849116499
